Accel X=-5, Accel Y=-110, Accel Z=1063Accel X=-2, Accel Y=-106, Accel Z=1065Accel X=-3, Accel Y=-107, Accel Z=1069Accel X=-2, Accel Y=-104, Accel Z=1065Accel X=-3, Accel Y=-109, Accel Z=1065Accel X=-2, Accel Y=-108, Accel Z=1068Accel X=-11, Accel Y=-109, Accel Z=1069Accel X=-6, Accel Y=-108, Accel Z=1069Accel X=-6, Accel Y=-108, Accel Z=1070Accel X=-4, Accel Y=-108, Accel Z=1069Accel X=-3, Accel Y=-105, Accel Z=1072Accel X=-3, Accel Y=-105, Accel Z=1069Accel X=-3, Accel Y=-106, Accel Z=1070Accel X=-2, Accel Y=-108, Accel Z=1066Accel X=-2, Accel Y=-105, Accel Z=1067Accel X=-4, Accel Y=-105, Accel Z=1070Accel X=-3, Accel Y=-104, Accel Z=1071Accel X=-1, Accel Y=-106, Accel Z=1068Accel X=0, Accel Y=-108, Accel Z=1064Accel X=-1, Accel Y=-109, Accel Z=1065Accel X=0, Accel Y=-107, Accel Z=1066Accel X=0, Accel Y=-104, Accel Z=1065Accel X=-4, Accel Y=-104, Accel Z=1067Accel X=-4, Accel Y=-104, Accel Z=1068Accel X=-3, Accel Y=-104, Accel Z=1067Accel X=-2, Accel Y=-106, Accel Z=1065Accel X=-2, Accel Y=-107, Accel Z=1067
Accel X=-2, Accel Y=-103, Accel Z=1064
Accel X=-4, Accel Y=-106, Accel Z=1066
Accel X=-3, Accel Y=-105, Accel Z=1065
Accel X=-2, Accel Y=-105, Accel Z=1064
Accel X=1, Accel Y=-104, Accel Z=1067
Accel X=1, Accel Y=-104, Accel Z=1069
Accel X=0, Accel Y=-106, Accel Z=1068
Accel X=-2, Accel Y=-104, Accel Z=1067
Accel X=-2, Accel Y=-105, Accel Z=1067
Accel X=-4, Accel Y=-103, Accel Z=1067
Accel X=-4, Accel Y=-106, Accel Z=1071
Accel X=-4, Accel Y=-104, Accel Z=1070
Accel X=-2, Accel Y=-106, Accel Z=1071
Accel X=-5, Accel Y=-104, Accel Z=1064
Accel X=-2, Accel Y=-107, Accel Z=1066
Accel X=-3, Accel Y=-107, Accel Z=1059
Accel X=-3, Accel Y=-111, Accel Z=1061
Accel X=-2, Accel Y=-104, Accel Z=1068
Accel X=-3, Accel Y=-107, Accel Z=1067
Accel X=-3, Accel Y=-105, Accel Z=1067
Accel X=-2, Accel Y=-106, Accel Z=1067
Accel X=-2, Accel Y=-108, Accel Z=1068
Accel X=-3, Accel Y=-103, Accel Z=1072
Accel X=-1, Accel Y=-102, Accel Z=1067
Accel X=-1, Accel Y=-105, Accel Z=1062
Accel X=0, Accel Y=-106, Accel Z=1065
Accel X=-2, Accel Y=-107, Accel Z=1062
Accel X=-2, Accel Y=-105, Accel Z=1067
