t = 24.500000, p = 100880, a = 36.947197
t = 24.500000, p = 100877, a = 37.364853
t = 24.500000, p = 100872, a = 38.284374
t = 24.500000, p = 100877, a = 37.783039
t = 24.500000, p = 100874, a = 37.364853
t = 24.500000, p = 100883, a = 37.198093
t = 24.500000, p = 100872, a = 37.364853
t = 24.500000, p = 100863, a = 37.699402
t = 24.500000, p = 100883, a = 36.863564
t = 24.500000, p = 100877, a = 37.198093
t = 24.500000, p = 100866, a = 38.284374
t = 24.500000, p = 100873, a = 38.033451
t = 24.500000, p = 100876, a = 37.699402
t = 24.500000, p = 100876, a = 37.615765
t = 24.500000, p = 100870, a = 38.200733
t = 24.500000, p = 100874, a = 37.615765
t = 24.500000, p = 100877, a = 37.198093
t = 24.500000, p = 100887, a = 37.448490
t = 24.400000, p = 100876, a = 37.198093
t = 24.400000, p = 100873, a = 37.866169
t = 24.500000, p = 100870, a = 36.947197
t = 24.400000, p = 100876, a = 37.198093
t = 24.400000, p = 100873, a = 37.699402
t = 24.400000, p = 100871, a = 38.117092
t = 24.400000, p = 100860, a = 37.866169
t = 24.400000, p = 100857, a = 38.534798
t = 24.400000, p = 100870, a = 37.866169
t = 24.400000, p = 100866, a = 37.615765
t = 24.400000, p = 100863, a = 37.866169
t = 24.400000, p = 100871, a = 38.117092
t = 24.400000, p = 100876, a = 37.448490
t = 24.400000, p = 100870, a = 38.534798
t = 24.400000, p = 100868, a = 37.699402
t = 24.400000, p = 100871, a = 37.866169
t = 24.400000, p = 100870, a = 37.615765
t = 24.400000, p = 100865, a = 37.448490
t = 24.400000, p = 100860, a = 37.615765
t = 24.400000, p = 100867, a = 38.117092
t = 24.400000, p = 100874, a = 37.949810
t = 24.400000, p = 100871, a = 37.615765
t = 24.400000, p = 100865, a = 37.699402
t = 24.400000, p = 100873, a = 37.699402
t = 24.400000, p = 100874, a = 36.863564
t = 24.299999, p = 100870, a = 37.448490
t = 24.299999, p = 100871, a = 37.281219
t = 24.299999, p = 100873, a = 37.615765
t = 24.299999, p = 100874, a = 37.866169
t = 24.299999, p = 100867, a = 37.699402
t = 24.299999, p = 100862, a = 38.200733
t = 24.299999, p = 100865, a = 38.200733
t = 24.299999, p = 100874, a = 37.866169
t = 24.299999, p = 100871, a = 38.618443
t = 24.299999, p = 100864, a = 38.117092
t = 24.299999, p = 100864, a = 38.117092
t = 24.299999, p = 100868, a = 38.451153
t = 24.299999, p = 100868, a = 38.200733
t = 24.299999, p = 100867, a = 38.367508
t = 24.299999, p = 100867, a = 38.200733
t = 24.299999, p = 100867, a = 38.117092
t = 24.299999, p = 100868, a = 37.866169
t = 24.299999, p = 100870, a = 37.281219
t = 24.299999, p = 100862, a = 37.281219
t = 24.299999, p = 100865, a = 38.785736
t = 24.299999, p = 100867, a = 37.615765
t = 24.299999, p = 100870, a = 37.615765
t = 224.699997, p = 234551, a = -7677.284668
t = 24.299999, p = 100870, a = 37.866169
t = 24.200001, p = 100875, a = 38.618443
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 24.200001, p = 100855, a = 39.203468
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 24.200001, p = 100877, a = 39.119816
t = 224.699997, p = 128626, a = 38.200733
t = 224.699997, p = 234551, a = -7677.284668
t = 24.200001, p = 100858, a = 38.451153
t = 24.200001, p = 100852, a = 38.033451
t = 224.699997, p = 234551, a = -7677.284668
t = 24.200001, p = 100867, a = 38.033451
t = 24.200001, p = 100862, a = 38.117092
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 24.200001, p = 100874, a = 38.117092
t = 24.200001, p = 100869, a = 38.618443
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
t = 224.699997, p = 234551, a = -7677.284668
