t = 23.100000, p = 101813, a= -40.217762
t = 23.100000, p = 101810, a= -40.217762
t = 23.100000, p = 101809, a= -40.051731
t = 23.100000, p = 101807, a= -40.300270
t = 23.100000, p = 101798, a= -39.968716
t = 23.100000, p = 101797, a= -40.300270
t = 23.100000, p = 101812, a= -40.300270
t = 23.100000, p = 101807, a= -39.968716
t = 23.100000, p = 101803, a= -40.632324
t = 23.100000, p = 101809, a= -40.217762
t = 23.100000, p = 101804, a= -39.720165
t = 23.100000, p = 101806, a= -39.968716
t = 24.000000, p = 101808, a= -40.963860
t = 25.900000, p = 101807, a= -39.056499
t = 26.900000, p = 101809, a= -39.720165
t = 27.400000, p = 101804, a= -40.549313
t = 27.600000, p = 101805, a= -39.968716
t = 27.500000, p = 101806, a= -39.802677
t = 26.600000, p = 101807, a= -40.383286
t = 26.000000, p = 101813, a= -40.549313
t = 25.600000, p = 101810, a= -39.720165
t = 25.299999, p = 101814, a= -40.466297
t = 25.100000, p = 101804, a= -40.466297
t = 25.000000, p = 101804, a= -40.300270
t = 24.900000, p = 101811, a= -40.549313
t = 24.799999, p = 101811, a= -40.549313
t = 24.700001, p = 101811, a= -40.880848
t = 24.700001, p = 101805, a= -39.637146
t = 24.600000, p = 101802, a= -40.300270
t = 24.600000, p = 101816, a= -40.715336
t = 24.600000, p = 101816, a= -40.300270
t = 24.600000, p = 101816, a= -40.797840
t = 24.500000, p = 101817, a= -40.632324
t = 24.500000, p = 101816, a= -40.549313
t = 24.500000, p = 101813, a= -40.383286
t = 24.500000, p = 101811, a= -40.632324
t = 24.400000, p = 101804, a= -39.637146
t = 24.400000, p = 101809, a= -40.632324
t = 24.400000, p = 101805, a= -39.885696
t = 24.400000, p = 101812, a= -40.632324
t = 24.400000, p = 101808, a= -40.715336
t = 24.299999, p = 101808, a= -40.134747
t = 24.299999, p = 101814, a= -39.968716
t = 24.299999, p = 101813, a= -40.134747
t = 24.299999, p = 101813, a= -40.715336
t = 24.299999, p = 101810, a= -40.217762
t = 24.299999, p = 101813, a= -40.300270
t = 24.299999, p = 101815, a= -40.300270
t = 24.299999, p = 101812, a= -40.217762
t = 24.299999, p = 101813, a= -40.715336
t = 24.299999, p = 101806, a= -40.466297
t = 24.200001, p = 101810, a= -40.300270
t = 24.200001, p = 101814, a= -40.549313
t = 24.200001, p = 101813, a= -40.466297
t = 24.200001, p = 101813, a= -40.383286
t = 24.200001, p = 101810, a= -39.720165
t = 24.200001, p = 101810, a= -40.549313
t = 24.200001, p = 101808, a= -39.720165
t = 24.200001, p = 101811, a= -40.383286
t = 24.100000, p = 101800, a= -40.051731
t = 24.100000, p = 101807, a= -40.051731
t = 24.100000, p = 101814, a= -39.802677
t = 24.100000, p = 101815, a= -40.051731
t = 24.100000, p = 101808, a= -40.963860
t = 24.100000, p = 101808, a= -39.885696
t = 24.100000, p = 101807, a= -40.632324
t = 24.100000, p = 101805, a= -40.880848
t = 24.100000, p = 101815, a= -40.383286
t = 24.100000, p = 101810, a= -40.466297
t = 24.100000, p = 101814, a= -40.880848
t = 24.100000, p = 101809, a= -40.632324
t = 24.000000, p = 101812, a= -40.134747
t = 24.000000, p = 101811, a= -40.134747
t = 24.000000, p = 101806, a= -40.217762
t = 24.000000, p = 101815, a= -40.632324
t = 24.000000, p = 101822, a= -40.217762
t = 24.000000, p = 101803, a= -39.720165
t = 24.000000, p = 101803, a= -40.466297
t = 24.000000, p = 101806, a= -39.637146
t = 24.000000, p = 101809, a= -39.968716
t = 23.900000, p = 101808, a= -40.466297
t = 23.900000, p = 101810, a= -39.968716
t = 23.900000, p = 101809, a= -40.963860
t = 23.900000, p = 101810, a= -40.549313
t = 23.900000, p = 101810, a= -40.217762
t = 23.900000, p = 101807, a= -40.300270
t = 23.900000, p = 101807, a= -40.549313
t = 23.900000, p = 101810, a= -40.051731
t = 23.900000, p = 101813, a= -40.549313
t = 23.900000, p = 101809, a= -40.300270
t = 23.900000, p = 101809, a= -40.300270
t = 23.900000, p = 101809, a= -40.549313
t = 23.900000, p = 101812, a= -40.217762
t = 23.900000, p = 101810, a= -40.217762
t = 23.900000, p = 101813, a= -40.632324
t = 23.799999, p = 101804, a= -39.802677
t = 23.799999, p = 101810, a= -40.300270
t = 23.799999, p = 101811, a= -39.968716
t = 23.799999, p = 101806, a= -40.300270
t = 23.799999, p = 101810, a= -40.632324
