['1', 36.947197],
['2', 37.364853],
['3', 38.284374],
['4', 37.783039],
['5', 37.364853],
['6', 37.198093],
['7', 37.364853],
['8', 37.699402],
['9', 36.863564],
['10', 37.198093],
['11', 38.284374],
['12', 38.033451],
['13', 37.699402],
['14', 37.615765],
['15', 38.200733],
['16', 37.615765],
['17', 37.198093],
['18', 37.448490],
['19', 37.198093],
['20', 37.866169],
['21', 36.947197],
['22', 37.198093],
['23', 37.699402],
['24', 38.117092],
['25', 37.866169],
['26', 38.534798],
['27', 37.866169],
['28', 37.615765],
['29', 37.866169],
['30', 38.117092],
['31', 37.448490],
['32', 38.534798],
['33', 37.699402],
['34', 37.866169],
['35', 37.615765],
['36', 37.448490],
['37', 37.615765],
['38', 38.117092],
['39', 37.949810],
['40', 37.615765],
['41', 37.699402],
['42', 37.699402],
['43', 36.863564],
['44', 37.448490],
['45', 37.281219],
['46', 37.615765],
['47', 37.866169],
['48', 37.699402],
['49', 38.200733],
['50', 38.200733],
['51', 37.866169],
['52', 38.618443],
['53', 38.117092],
['54', 38.117092],
['55', 38.451153],
['56', 38.200733],
['57', 38.367508],
['58', 38.200733],
['59', 38.117092],
['60', 37.866169],
['61', 37.281219],
['62', 37.281219],
['63', 38.785736],
['64', 37.615765],
['65', 37.615765],
['66', -7677.284668],
['67', 37.866169],
['68', 38.618443],
['69', -7677.284668],
['70', -7677.284668],
['71', 39.203468],
['72', -7677.284668],
['73', -7677.284668],
['74', 39.119816],
['75', 38.200733],
['76', -7677.284668],
['77', 38.451153],
['78', 38.033451],
['79', -7677.284668],
['80', 38.033451],
['81', 38.117092],
['82', -7677.284668],
['83', -7677.284668],
['84', 38.117092],
['85', 38.618443],
['86', -7677.284668],
['87', -7677.284668],
['88', -7677.284668],
['89', -7677.284668],
['90', -7677.284668],
['91', -7677.284668],
['92', -7677.284668],
['93', -7677.284668],
['94', -7677.284668],
['95', -7677.284668],
['96', -7677.284668],
['97', -7677.284668],
['98', -7677.284668],
['99', -7677.284668],
['100', -7677.284668]
