['1', 100880],
['2', 100877],
['3', 100872],
['4', 100877],
['5', 100874],
['6', 100883],
['7', 100872],
['8', 100863],
['9', 100883],
['10', 100877],
['11', 100866],
['12', 100873],
['13', 100876],
['14', 100876],
['15', 100870],
['16', 100874],
['17', 100877],
['18', 100887],
['19', 100876],
['20', 100873],
['21', 100870],
['22', 100876],
['23', 100873],
['24', 100871],
['25', 100860],
['26', 100857],
['27', 100870],
['28', 100866],
['29', 100863],
['30', 100871],
['31', 100876],
['32', 100870],
['33', 100868],
['34', 100871],
['35', 100870],
['36', 100865],
['37', 100860],
['38', 100867],
['39', 100874],
['40', 100871],
['41', 100865],
['42', 100873],
['43', 100874],
['44', 100870],
['45', 100871],
['46', 100873],
['47', 100874],
['48', 100867],
['49', 100862],
['50', 100865],
['51', 100874],
['52', 100871],
['53', 100864],
['54', 100864],
['55', 100868],
['56', 100868],
['57', 100867],
['58', 100867],
['59', 100867],
['60', 100868],
['61', 100870],
['62', 100862],
['63', 100865],
['64', 100867],
['65', 100870],
['66', 234551],
['67', 100870],
['68', 100875],
['69', 234551],
['70', 234551],
['71', 100855],
['72', 234551],
['73', 234551],
['74', 100877],
['75', 128626],
['76', 234551],
['77', 100858],
['78', 100852],
['79', 234551],
['80', 100867],
['81', 100862],
['82', 234551],
['83', 234551],
['84', 100874],
['85', 100869],
['86', 234551],
['87', 234551],
['88', 234551],
['89', 234551],
['90', 234551],
['91', 234551],
['92', 234551],
['93', 234551],
['94', 234551],
['95', 234551],
['96', 234551],
['97', 234551],
['98', 234551],
['99', 234551],
['100', 234551]
