time = 1492642368, t = 20.600000, p = 102343, a= -84.740639
time = 1492642368, t = 20.600000, p = 102347, a= -84.740639
time = 1492642368, t = 20.600000, p = 102343, a= -84.493156
time = 1492642368, t = 20.600000, p = 102351, a= -84.410492
time = 1492642369, t = 20.600000, p = 102338, a= -84.988625
time = 1492642369, t = 20.600000, p = 102354, a= -84.163002
time = 1492642369, t = 20.600000, p = 102341, a= -85.649376
time = 1492642369, t = 20.600000, p = 102350, a= -84.410492
time = 1492642369, t = 20.600000, p = 102344, a= -85.318748
time = 1492642369, t = 20.600000, p = 102351, a= -85.236595
time = 1492642369, t = 20.600000, p = 102353, a= -84.988625
time = 1492642369, t = 20.600000, p = 102348, a= -84.740639
time = 1492642369, t = 20.600000, p = 102358, a= -85.318748
time = 1492642369, t = 20.600000, p = 102353, a= -85.318748
time = 1492642370, t = 20.600000, p = 102345, a= -85.318748
time = 1492642370, t = 20.600000, p = 102350, a= -84.988625
time = 1492642370, t = 20.600000, p = 102351, a= -85.318748
time = 1492642370, t = 20.600000, p = 102348, a= -83.997673
time = 1492642370, t = 20.600000, p = 102351, a= -84.740639
time = 1492642370, t = 20.600000, p = 102350, a= -85.318748
time = 1492642370, t = 20.600000, p = 102343, a= -85.236595
time = 1492642370, t = 20.600000, p = 102348, a= -85.236595
time = 1492642370, t = 20.600000, p = 102353, a= -84.740639
time = 1492642370, t = 20.600000, p = 102356, a= -84.658485
time = 1492642371, t = 20.600000, p = 102343, a= -84.823303
time = 1492642371, t = 20.600000, p = 102350, a= -85.236595
time = 1492642371, t = 20.600000, p = 102344, a= -84.245163
time = 1492642371, t = 20.600000, p = 102347, a= -84.823303
time = 1492642371, t = 20.600000, p = 102347, a= -85.236595
time = 1492642371, t = 20.600000, p = 102344, a= -84.245163
time = 1492642371, t = 20.600000, p = 102344, a= -84.740639
time = 1492642371, t = 20.600000, p = 102341, a= -84.493156
time = 1492642371, t = 20.600000, p = 102350, a= -84.658485
time = 1492642371, t = 20.600000, p = 102354, a= -84.988625
time = 1492642372, t = 20.600000, p = 102344, a= -84.740639
time = 1492642372, t = 20.600000, p = 102343, a= -85.071281
time = 1492642372, t = 20.600000, p = 102346, a= -84.658485
time = 1492642372, t = 20.600000, p = 102347, a= -83.915001
time = 1492642372, t = 20.600000, p = 102344, a= -84.493156
time = 1492642372, t = 20.600000, p = 102344, a= -84.988625
time = 1492642372, t = 20.600000, p = 102351, a= -84.493156
time = 1492642372, t = 20.600000, p = 102347, a= -84.823303
time = 1492642372, t = 20.600000, p = 102350, a= -84.823303
time = 1492642372, t = 20.600000, p = 102346, a= -84.988625
time = 1492642373, t = 20.600000, p = 102348, a= -85.566719
time = 1492642373, t = 20.600000, p = 102340, a= -84.493156
time = 1492642373, t = 20.600000, p = 102337, a= -84.658485
time = 1492642373, t = 20.600000, p = 102344, a= -84.410492
time = 1492642373, t = 20.600000, p = 102344, a= -84.823303
time = 1492642373, t = 20.600000, p = 102344, a= -84.658485
time = 1492642373, t = 20.600000, p = 102344, a= -84.245163
time = 1492642373, t = 20.600000, p = 102338, a= -84.823303
time = 1492642373, t = 20.600000, p = 102353, a= -84.740639
time = 1492642373, t = 20.600000, p = 102344, a= -84.658485
time = 1492642374, t = 20.600000, p = 102338, a= -83.915001
time = 1492642374, t = 20.600000, p = 102338, a= -84.740639
time = 1492642374, t = 20.600000, p = 102341, a= -84.740639
time = 1492642374, t = 20.600000, p = 102348, a= -83.997673
time = 1492642374, t = 20.600000, p = 102343, a= -85.071281
time = 1492642374, t = 20.600000, p = 102341, a= -84.988625
time = 1492642374, t = 20.600000, p = 102345, a= -84.163002
time = 1492642374, t = 20.600000, p = 102341, a= -83.997673
time = 1492642374, t = 20.600000, p = 102350, a= -84.245163
time = 1492642374, t = 20.600000, p = 102345, a= -84.245163
time = 1492642375, t = 20.600000, p = 102341, a= -84.493156
time = 1492642375, t = 20.600000, p = 102346, a= -84.823303
time = 1492642375, t = 20.600000, p = 102340, a= -84.245163
time = 1492642375, t = 20.600000, p = 102341, a= -83.749664
time = 1492642375, t = 20.600000, p = 102335, a= -83.915001
time = 1492642375, t = 20.600000, p = 102343, a= -83.997673
time = 1492642375, t = 20.600000, p = 102335, a= -83.915001
time = 1492642375, t = 20.600000, p = 102348, a= -84.493156
time = 1492642375, t = 20.600000, p = 102334, a= -84.575821
time = 1492642375, t = 20.600000, p = 102347, a= -84.163002
time = 1492642376, t = 20.600000, p = 102340, a= -84.410492
time = 1492642376, t = 20.600000, p = 102341, a= -84.823303
time = 1492642376, t = 20.600000, p = 102345, a= -84.163002
time = 1492642376, t = 20.600000, p = 102335, a= -83.997673
time = 1492642376, t = 20.600000, p = 102348, a= -83.749664
time = 1492642376, t = 20.600000, p = 102341, a= -84.163002
time = 1492642376, t = 20.600000, p = 102338, a= -83.915001
time = 1492642376, t = 20.600000, p = 102343, a= -84.493156
time = 1492642376, t = 20.600000, p = 102340, a= -84.493156
time = 1492642376, t = 20.600000, p = 102347, a= -84.493156
time = 1492642377, t = 20.600000, p = 102341, a= -84.740639
time = 1492642377, t = 20.600000, p = 102345, a= -84.493156
time = 1492642377, t = 20.600000, p = 102342, a= -84.245163
time = 1492642377, t = 20.600000, p = 102348, a= -84.740639
time = 1492642377, t = 20.600000, p = 102345, a= -83.915001
time = 1492642377, t = 20.600000, p = 102347, a= -84.988625
time = 1492642377, t = 20.500000, p = 102344, a= -84.905960
time = 1492642377, t = 20.500000, p = 102347, a= -84.575821
time = 1492642377, t = 20.500000, p = 102348, a= -84.823303
time = 1492642377, t = 20.500000, p = 102351, a= -84.493156
time = 1492642378, t = 20.500000, p = 102349, a= -85.153938
time = 1492642378, t = 20.500000, p = 102344, a= -84.245163
time = 1492642378, t = 20.500000, p = 102349, a= -84.905960
time = 1492642378, t = 20.500000, p = 102347, a= -84.575821
time = 1492642378, t = 20.500000, p = 102348, a= -84.575821
time = 1492642378, t = 20.500000, p = 102342, a= -84.080338
time = 1492642378, t = 20.500000, p = 102347, a= -84.327827
time = 1492642378, t = 20.500000, p = 102342, a= -84.327827
time = 1492642378, t = 20.500000, p = 102342, a= -84.327827
time = 1492642378, t = 20.500000, p = 102347, a= -84.327827
time = 1492642379, t = 20.500000, p = 102339, a= -84.080338
time = 1492642379, t = 20.500000, p = 102348, a= -84.905960
time = 1492642379, t = 20.500000, p = 102344, a= -84.823303
time = 1492642379, t = 20.500000, p = 102352, a= -84.740639
time = 1492642379, t = 20.500000, p = 102342, a= -84.245163
time = 1492642379, t = 20.500000, p = 102336, a= -84.905960
time = 1492642379, t = 20.500000, p = 102345, a= -84.905960
time = 1492642379, t = 20.500000, p = 102354, a= -85.071281
time = 1492642379, t = 20.500000, p = 102347, a= -84.905960
time = 1492642379, t = 20.500000, p = 102345, a= -84.245163
time = 1492642380, t = 20.500000, p = 102359, a= -85.153938
time = 1492642380, t = 20.500000, p = 102352, a= -85.071281
time = 1492642380, t = 20.500000, p = 102341, a= -84.905960
time = 1492642380, t = 20.500000, p = 102335, a= -84.905960
time = 1492642380, t = 20.500000, p = 102351, a= -85.153938
time = 1492642380, t = 20.500000, p = 102344, a= -84.905960
time = 1492642380, t = 20.500000, p = 102332, a= -83.749664
time = 1492642380, t = 20.500000, p = 102346, a= -84.905960
time = 1492642380, t = 20.500000, p = 102341, a= -85.071281
time = 1492642380, t = 20.500000, p = 102349, a= -84.905960
time = 1492642381, t = 20.500000, p = 102338, a= -84.245163
time = 1492642381, t = 20.500000, p = 102335, a= -84.740639
time = 1492642381, t = 20.500000, p = 102336, a= -85.153938
time = 1492642381, t = 20.500000, p = 102341, a= -84.327827
time = 1492642381, t = 20.500000, p = 102345, a= -85.401405
time = 1492642381, t = 20.500000, p = 102341, a= -84.823303
time = 1492642381, t = 20.500000, p = 102342, a= -84.905960
time = 1492642381, t = 20.500000, p = 102342, a= -84.327827
time = 1492642381, t = 20.500000, p = 102345, a= -84.658485
time = 1492642381, t = 20.500000, p = 102345, a= -84.823303
time = 1492642382, t = 20.500000, p = 102348, a= -83.832336
time = 1492642382, t = 20.500000, p = 102343, a= -84.575821
time = 1492642382, t = 20.500000, p = 102342, a= -83.997673
time = 1492642382, t = 20.500000, p = 102343, a= -84.163002
time = 1492642382, t = 20.500000, p = 102340, a= -84.080338
time = 1492642382, t = 20.500000, p = 102340, a= -84.823303
time = 1492642382, t = 20.500000, p = 102346, a= -84.327827
time = 1492642382, t = 20.500000, p = 102350, a= -84.410492
time = 1492642382, t = 20.500000, p = 102340, a= -84.823303
